Coincidence Evaluation
09.02.99
10:14:44
wigner scan alice
   0.00	   0.00	  67346	  65606	  67858	  68279	 269089	  71559	  70919	  66543	  69564	 278585     56	    363	   1184	    570	    200	     27	    944	    905	   1144	    639	     60	    374	    856	   1006	    279	     69	   8676	 -0.905	  0.009	 -0.580	  0.017	 -0.243	  0.022	 -0.904	  0.010	  2.632	  0.031	 20.603
   0.00	   0.00	  66820	  65420	  67834	  68543	 268617	  71387	  70411	  66469	  68702	 276969     46	    352	   1190	    577	    223	     31	    857	    879	   1179	    741	     73	    307	    715	    952	    290	     58	   8470	 -0.904	  0.009	 -0.508	  0.019	 -0.333	  0.021	 -0.907	  0.010	  2.653	  0.031	 20.954
   0.00	   0.00	  67430	  65848	  67587	  68043	 268908	  71339	  70362	  66091	  68922	 276714     47	    319	   1181	    618	    268	     19	    871	    925	   1147	    739	     60	    268	    777	    822	    304	     44	   8409	 -0.912	  0.008	 -0.485	  0.019	 -0.396	  0.021	 -0.930	  0.009	  2.723	  0.030	 23.825
   0.00	   0.00	  67142	  65470	  67984	  67845	 268441	  71518	  70744	  66327	  68416	 277005     44	    266	   1206	    596	    310	     29	    796	    809	   1211	    804	     48	    222	    702	    859	    339	     51	   8292	 -0.927	  0.008	 -0.395	  0.020	 -0.483	  0.020	 -0.908	  0.010	  2.714	  0.031	 23.089
   0.00	   0.00	  67257	  65791	  68053	  68449	 269550	  72441	  70443	  66838	  68208	 277930     42	    223	   1188	    665	    328	     27	    749	    761	   1161	    816	     62	    225	    666	    834	    454	     55	   8256	 -0.915	  0.008	 -0.288	  0.020	 -0.536	  0.019	 -0.902	  0.011	  2.641	  0.031	 20.644
   0.00	   0.00	  67403	  65300	  68220	  67626	 268549	  71447	  70804	  66643	  69144	 278038     46	    162	   1196	    693	    376	     37	    767	    805	   1131	    853	     99	    149	    679	    889	    465	     53	   8400	 -0.883	  0.009	 -0.265	  0.020	 -0.665	  0.017	 -0.899	  0.010	  2.711	  0.030	 23.664
   0.00	   0.00	  66836	  66173	  68029	  67476	 268514	  71926	  70246	  66480	  68732	 277384     74	    152	   1190	    734	    412	     50	    634	    760	   1199	    863	    102	    157	    547	    841	    497	     58	   8270	 -0.863	  0.010	 -0.130	  0.022	 -0.676	  0.017	 -0.874	  0.012	  2.542	  0.032	 17.203
   0.00	   0.00	  66727	  66136	  67795	  67530	 268188	  71538	  69996	  67201	  68377	 277112     74	    118	   1160	    762	    448	     60	    585	    694	   1075	    950	    120	    132	    528	    809	    511	     58	   8084	 -0.840	  0.011	 -0.074	  0.022	 -0.745	  0.015	 -0.854	  0.013	  2.514	  0.032	 16.306
   0.00	   0.00	  66992	  66195	  67899	  66857	 267943	  71754	  70518	  66730	  68682	 277684     81	    114	   1107	    762	    462	     69	    562	    678	   1068	    961	    115	    105	    569	    777	    586	     81	   8097	 -0.835	  0.011	 -0.038	  0.021	 -0.774	  0.014	 -0.813	  0.015	  2.460	  0.032	 14.531
   0.00	   0.00	  66842	  65716	  68039	  67185	 267782	  71807	  70415	  66157	  67961	 276340    121	     90	   1013	    758	    550	     84	    538	    704	   1072	    974	    151	     93	    464	    766	    584	    100	   8062	 -0.769	  0.013	  0.062	  0.022	 -0.809	  0.013	 -0.778	  0.015	  2.417	  0.033	 12.824
