Coincidence Evaluation
09.02.99
09:45:49
scanblue1
 -15.00	   0.00	  46623	  50260	  51137	  53349	 201369	  35403	  34703	  35304	  34392	 139802     40	    505	    807	    300	    272	     45	    541	    793	    762	    323	     47	    578	    482	    686	    233	     39	   6453	 -0.895	  0.011	 -0.339	  0.024	  0.270	  0.023	 -0.893	  0.011	  2.396	  0.037	 10.689
 -10.00	   0.00	  46690	  50138	  51457	  53645	 201930	  35479	  34653	  35259	  34221	 139612     18	    387	    790	    298	    344	     35	    490	    834	    817	    376	     22	    501	    391	    657	    305	     28	   6293	 -0.951	  0.008	 -0.152	  0.025	  0.137	  0.025	 -0.919	  0.010	  2.159	  0.038	  4.212
  -5.00	   0.00	  46770	  50330	  51203	  53731	 202034	  35310	  34352	  35063	  34408	 139133     15	    393	    817	    413	    402	     31	    402	    825	    881	    445	     17	    475	    343	    680	    396	     27	   6562	 -0.963	  0.006	  0.034	  0.025	  0.006	  0.024	 -0.926	  0.010	  1.929	  0.037	 -1.927
   0.00	   0.00	  46321	  49927	  51951	  53624	 201823	  35768	  34755	  35105	  34187	 139815     21	    329	    782	    496	    481	     54	    311	    849	    810	    545	     17	    380	    330	    703	    425	     43	   6576	 -0.953	  0.007	  0.171	  0.025	 -0.190	  0.023	 -0.882	  0.012	  2.197	  0.037	  5.318
   5.00	   0.00	  46684	  50216	  51881	  53495	 202276	  35406	  34656	  34982	  33944	 138988     35	    256	    870	    552	    553	     81	    274	    822	    857	    590	     35	    352	    264	    618	    504	     54	   6717	 -0.922	  0.009	  0.325	  0.024	 -0.305	  0.023	 -0.829	  0.014	  2.381	  0.037	 10.332
  10.00	   0.00	  46274	  49900	  52469	  53763	 202406	  35476	  34567	  35279	  34350	 139672     48	    188	    784	    581	    550	     87	    250	    754	    778	    673	     70	    248	    230	    659	    548	     67	   6515	 -0.860	  0.012	  0.392	  0.023	 -0.484	  0.021	 -0.803	  0.015	  2.539	  0.037	 14.545
  15.00	   0.00	  46173	  49927	  52093	  53709	 201902	  35216	  34465	  35240	  34220	 139141     88	    145	    774	    588	    651	    133	    184	    668	    790	    665	    120	    185	    167	    634	    598	     87	   6477	 -0.765	  0.015	  0.561	  0.021	 -0.583	  0.020	 -0.711	  0.018	  2.620	  0.037	 16.559
  20.00	   0.00	  46049	  49687	  52018	  54002	 201756	  35772	  34566	  35017	  34169	 139524    137	    133	    711	    667	    711	    178	    129	    749	    738	    739	    163	    150	    108	    619	    638	    137	   6707	 -0.657	  0.018	  0.701	  0.018	 -0.665	  0.018	 -0.626	  0.019	  2.649	  0.037	 17.736
  25.00	   0.00	  46401	  49484	  52054	  54051	 201990	  35617	  34696	  35082	  34103	 139498    164	     85	    684	    691	    735	    196	    100	    578	    706	    807	    201	     87	     90	    606	    711	    208	   6649	 -0.584	  0.019	  0.768	  0.016	 -0.794	  0.015	 -0.491	  0.022	  2.637	  0.036	 17.496
  30.00	   0.00	  45700	  49547	  52607	  53925	 201779	  35469	  34360	  34910	  34300	 139039    200	     56	    614	    749	    731	    270	     67	    519	    625	    826	    306	     53	     89	    571	    751	    265	   6692	 -0.420	  0.022	  0.810	  0.015	 -0.871	  0.012	 -0.342	  0.023	  2.442	  0.037	 11.934
  35.00	   0.00	  45896	  49667	  52149	  54429	 202141	  35398	  34550	  35288	  34113	 139349    285	     28	    565	    816	    665	    330	     53	    501	    608	    891	    340	     36	     50	    449	    763	    353	   6733	 -0.305	  0.022	  0.865	  0.013	 -0.928	  0.009	 -0.164	  0.024	  2.261	  0.037	  7.134
