Coincidence Evaluation
02.04.98
14:17:32
sineblue3
Shift [ns]:	 -6.000
Window [ns]:	  5.000
E(0,0):		  0.918	  0.005
E(0,1):		  0.190	  0.013
E(1,0):		    NaN	    NaN
E(1,1):		    NaN	    NaN
S:		    NaN	    NaN
Violation:	    NaN
Coincidences:	  12135
Matrix:

   3557	      0	    133	      0
   2001	      0	   1060	      0
    136	      0	   2724	      0
   1202	      0	   1322	      0

Histogram:

   -10.69	    21.00
   -10.19	    14.00
    -9.70	     8.00
    -9.20	     6.00
    -8.71	    11.00
    -8.21	    31.00
    -7.71	   364.00
    -7.22	  1895.00
    -6.72	  2919.00
    -6.22	  1569.00
    -5.73	  2234.00
    -5.23	  1825.00
    -4.74	   521.00
    -4.24	   189.00
    -3.74	   126.00
    -3.25	    99.00
    -2.75	   117.00
    -2.26	    75.00
    -1.76	    67.00
    -1.26	    44.00
