Coincidence Evaluation
02.04.98
14:27:27
sineblue17
Shift [ns]:	  3.000
Window [ns]:	  5.000
E(0,0):		 -0.661	  0.009
E(0,1):		  0.693	  0.010
E(1,0):		    NaN	    NaN
E(1,1):		    NaN	    NaN
S:		    NaN	    NaN
Violation:	    NaN
Coincidences:	  12187
Matrix:

    690	      0	   2937	      0
   2601	      0	    500	      0
   2575	      0	    434	      0
    353	      0	   2097	      0

Histogram:

    -1.69	    13.00
    -1.19	     6.00
    -0.69	     6.00
    -0.20	    13.00
     0.30	     1.00
     0.80	    11.00
     1.29	    79.00
     1.79	   668.00
     2.28	  2143.00
     2.78	  2248.00
     3.28	  1024.00
     3.77	  2076.00
     4.27	  2482.00
     4.77	   694.00
     5.26	   243.00
     5.76	   130.00
     6.26	   122.00
     6.75	   100.00
     7.25	    76.00
     7.74	    52.00
